Day	Date	Total_Cases
0	3/6/2020	1
1	3/7/2020	5
2	3/8/2020	9
3	3/9/2020	9
4	3/10/2020	13
5	3/11/2020	22
6	3/12/2020	23
7	3/13/2020	26
8	3/14/2020	27
9	3/15/2020	35
10	3/16/2020	41
11	3/17/2020	50
12	3/18/2020	69
13	3/19/2020	87
14	3/20/2020	113
15	3/21/2020	117
16	3/22/2020	134
17	3/23/2020	158
18	3/24/2020	177
19	3/25/2020	201
20	3/26/2020	231
21	3/27/2020	263
22	3/28/2020	295
23	3/29/2020	314
24	3/30/2020	330
25	3/31/2020	375
26	4/1/2020	396
27	4/2/2020	416
28	4/3/2020	435
29	4/4/2020	454
30	4/5/2020	467
31	4/6/2020	483
32	4/7/2020	502
33	4/8/2020	539
34	4/9/2020	558
35	4/10/2020	577
36	4/11/2020	595
37	4/12/2020	612
38	4/13/2020	618
39	4/14/2020	626
40	4/15/2020	642
41	4/16/2020	649
42	4/17/2020	655
43	4/18/2020	660
44	4/19/2020	662
45	4/20/2020	669
46	4/21/2020	681
47	4/22/2020	686
48	4/23/2020	687
49	4/24/2020	693
50	4/25/2020	695
51	4/26/2020	697
52	4/27/2020	705
53	4/28/2020	713
54	4/29/2020	719
55	4/30/2020	725
56	5/1/2020	733
57	5/2/2020	739
58	5/3/2020	742
59	5/4/2020	755
60	5/5/2020	765
61	5/6/2020	780
62	5/7/2020	792
63	5/8/2020	801
64	5/9/2020	804
65	5/10/2020	815
66	5/11/2020	830
67	5/12/2020	843
68	5/13/2020	853
69	5/14/2020	863
70	5/15/2020	866
71	5/16/2020	882
72	5/17/2020	897
73	5/18/2020	903
74	5/19/2020	911
75	5/20/2020	918
76	5/21/2020	930
77	5/22/2020	951
78	5/23/2020	956
79	5/24/2020	984
80	5/25/2020	1000
81	5/26/2020	1022
82	5/27/2020	1047
83	5/28/2020	1056
84	5/29/2020	1084
85	5/30/2020	1105
86	5/31/2020	1157
87	6/1/2020	1194
88	6/2/2020	1228
89	6/3/2020	1263
90	6/4/2020	1318
91	6/5/2020	1342
92	6/6/2020	1375
93	6/7/2020	1461
94	6/8/2020	1538
95	6/9/2020	1612
96	6/10/2020	1662
97	6/11/2020	1715
98	6/12/2020	1744
99	6/13/2020	1796
100	6/14/2020	1871
101	6/15/2020	1939
102	6/16/2020	2058
103	6/17/2020	2127
104	6/18/2020	2213
105	6/19/2020	2304
106	6/20/2020	2368
107	6/21/2020	2515
108	6/22/2020	2684
109	6/23/2020	2836
110	6/24/2020	2979
111	6/25/2020	3130
112	6/26/2020	3269
113	6/27/2020	3459
114	6/28/2020	3753
115	6/29/2020	4023
116	6/30/2020	4311
117	7/1/2020	4621
118	7/2/2020	4996
119	7/3/2020	5241
120	7/4/2020	5486
121	7/5/2020	5836
122	7/6/2020	6485
123	7/7/2020	6845
124	7/8/2020	7231
125	7/9/2020	7596
126	7/10/2020	8036
127	7/11/2020	8482
128	7/12/2020	8986
129	7/13/2020	9546
130	7/14/2020	9969
131	7/15/2020	10551
132	7/16/2020	11114
133	7/17/2020	11534
134	7/18/2020	11811
135	7/19/2020	12361
136	7/20/2020	13129
137	7/21/2020	13669
138	7/22/2020	14600
139	7/23/2020	15229
140	7/24/2020	15841
141	7/25/2020	16344
142	7/26/2020	16800
143	7/27/2020	17290
144	7/28/2020	17820
145	7/29/2020	18187
146	7/30/2020	18975
147	7/31/2020	19402
148	8/1/2020	19837
149	8/2/2020	20417
150	8/3/2020	21070
151	8/4/2020	22081
152	8/5/2020	22802
153	8/6/2020	23286
154	8/7/2020	23872
155	8/8/2020	24508
156	8/9/2020	25057
157	8/10/2020	26129
158	8/11/2020	26931
159	8/12/2020	27737
160	8/13/2020	28465
161	8/14/2020	29084
162	8/15/2020	29643
163	8/16/2020	30409
164	8/17/2020	31075
165	8/18/2020	32134
166	8/19/2020	33084
167	8/20/2020	33820
168	8/21/2020	34463
169	8/22/2020	35305
170	8/23/2020	36307
171	8/24/2020	37292
172	8/25/2020	38485
173	8/26/2020	39699
174	8/27/2020	40546
175	8/28/2020	41287
176	8/29/2020	42184
177	8/30/2020	43305
178	8/31/2020	44558
179	9/1/2020	45680
180	9/2/2020	46920
181	9/3/2020	47947
182	9/4/2020	48780
183	9/5/2020	49897
184	9/6/2020	52549
185	9/7/2020	53969
186	9/8/2020	55454
187	9/9/2020	56424
188	9/10/2020	57361
189	9/11/2020	58138
190	9/12/2020	59516
191	9/13/2020	60818
192	9/14/2020	62374
193	9/15/2020	63712
194	9/16/2020	64899
195	9/17/2020	65602
196	9/18/2020	66689
197	9/19/2020	68059
198	9/20/2020	69459
199	9/21/2020	70816
200	9/22/2020	72049
201	9/23/2020	72984
202	9/24/2020	73314
203	9/25/2020	74604
204	9/26/2020	75760
205	9/27/2020	76828
206	9/28/2020	77829
207	9/29/2020	79182
208	9/30/2020	80407
209	10/1/2020	81129
210	10/2/2020	82142
211	10/3/2020	83497
212	10/4/2020	84828
213	10/5/2020	86053
214	10/6/2020	87439
215	10/7/2020	88500
216	10/8/2020	89233
217	10/9/2020	90238
218	10/10/2020	91780
219	10/11/2020	93152
220	10/12/2020	94348
221	10/13/2020	95514
222	10/14/2020	96443
223	10/15/2020	97075
224	10/16/2020	97922
225	10/17/2020	99425
226	10/18/2020	100616
227	10/19/2020	101826
228	10/20/2020	103088
229	10/21/2020	103949
230	10/22/2020	104460
231	10/23/2020	105322
232	10/24/2020	106553
233	10/25/2020	107570
234	10/26/2020	108866
235	10/27/2020	109971
236	10/28/2020	110717
237	10/29/2020	111257
238	10/30/2020	112120
239	10/31/2020	113261
240	11/1/2020	114367
